# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.033 -3.2060592912724433 -1.6888413188602658 -3.2060592912724135 -1.6888413188602502 0.06652706244556779 -0.027374400818814284 0.06652706244561032 -0.0273744008187923
0.034 -3.1650995189820965 -1.7187152409057025 -3.1650995189820894 -1.718715240905699 0.06673915108991804 -0.028215013483417827 0.06673915108993754 -0.028215013483407745
0.035 -3.1239634133862273 -1.747245230953642 -3.1239634133862273 -1.7472452309536417 0.06695840012891208 -0.029056562137797372 0.06695840012892487 -0.029056562137790443
0.036 -3.0827017077167493 -1.7744516402367008 -3.0827017077167342 -1.774451640236691 0.06718488595423575 -0.029899065280463242 0.06718488595426361 -0.029899065280446422
0.037 -3.041362843222971 -1.8003566426637019 -3.041362843222958 -1.8003566426636948 0.0674186876417965 -0.030742540479141964 0.06741868764182171 -0.03074254047912819
0.038 -2.9999929413117536 -1.8249840424075774 -2.999992941311735 -1.8249840424075663 0.06765988699262263 -0.03158700432194209 0.06765988699265331 -0.03158700432192392
0.039 -2.9586357898753755 -1.8483590874365234 -2.9586357898753697 -1.8483590874365192 0.06790856857528683 -0.03243247236612608 0.06790856857530472 -0.0324324723661146
0.04 -2.917332842661237 -1.870508289811208 -2.9173328426612186 -1.8705082898111967 0.06816481976923636 -0.03327895908476291 0.0681648197692663 -0.03327895908474445
0.041 -2.876123230527523 -1.8914592534234334 -2.8761232305275195 -1.891459253423432 0.06842873080967737 -0.034126477810737535 0.0684287308096925 -0.034126477810728785
0.042 -2.8350437834364794 -1.9112405097142926 -2.8350437834364763 -1.9112405097142904 0.0687003948332665 -0.03497504067845653 0.06870039483328097 -0.03497504067844698
0.043 -2.7941290620544916 -1.9298813617801056 -2.794129062054486 -1.9298813617801014 0.06897990792534195 -0.03582465856267767 0.06897990792535892 -0.03582465856266587
0.044 -2.7534113978595602 -1.9474117371564803 -2.7534113978595487 -1.9474117371564728 0.06926736916811495 -0.0366753410146693 0.06926736916813779 -0.03667534101465424
0.045 -2.7129209406950525 -1.9638620494620544 -2.7129209406950636 -1.9638620494620613 0.06956288069014856 -0.03752709619537656 0.06956288069014825 -0.03752709619537612
0.046 -2.6726857127559116 -1.9792630689863115 -2.6726857127559227 -1.979263068986319 0.06986654771680692 -0.03837993080561873 0.06986654771680678 -0.038379930805618544
